disease,symptom,count,values
Complete trisomy 21 syndrome,Cry of Downs syndrome,10,0
Tear film insufficiency,Dry eyes,10,0
Tear film insufficiency,Dry eye,10,0
Infectious diarrheal disease,Diarrhea symptom,390,1
Infective diarrhea,Diarrhea symptom,390,1
Infectious diarrheal disease,Loose stool,390,1
Infective diarrhea,Loose stool,390,1
Dyskinesia,Motor dysfunction,40,0
Dyskinesia,Adiadochokinesia,10,0
Dyskinesia,Dysdiadochokinesis,10,0
Dyskinesia,Neonatal dyskinesia,10,0
Dyskinesia,Coordination problem,120,0
Pain in female genitalia on intercourse,Pain in female genitalia,20,0
Pain in female genitalia on intercourse,Pain on penetration,10,0
Paroxysmal dyspnea,Difficulty breathing,20,0
Paroxysmal dyspnea,Paroxysmal nocturnal dyspnea finding,10,0
Primary torsion dystonia,Diurnal dystonia,20,0
Torsion dystonia,Diurnal dystonia,20,0
Disorder of ear,Loudness recruitment,20,0
Disorder of ear,Paracusis disorder,10,0
Disorder of ear,Bleeding from ear,40,0
Disorder of ear,Deafness symptom,10,0
Eclampsia disorder,Seizure,1690,1
Nutrition deficiency due to insufficient food,Starvation disorder,50,0
Subacute bacterial endocarditis,Oslers node,30,0
Disorder of endocrine system,Mass of endocrine structure,10,0
Disorder of endocrine system,Pain of endocrine structure,10,0
Endometriosis clinical,Pain finding,1360,1
Endometriosis of fallopian tube,Pain finding,1360,1
"Lyells toxic epidermal necrolysis, subepidermal type",Erythema of skin,890,1
"Lyells toxic epidermal necrolysis, subepidermal type",Erythematous condition,890,1
Epileptic seizure,Seizure,1690,1
Seizure disorder,Seizure,1690,1
Epileptic seizure,Epileptic aura,10,0
Seizure disorder,Epileptic aura,10,0
Epileptic seizure,Partial seizure,220,0
Seizure disorder,Partial seizure,220,0
Localization-related epilepsy,Seizure,1690,1
Localization-related epilepsy,Partial seizure,220,0
Generalized epilepsy,Seizure,1690,1
Tonic-clonic epilepsy,Seizure,1690,1
Epileptic seizures - myoclonic,Myoclonic disorder,290,1
Myoclonic seizure,Myoclonic disorder,290,1
Epileptic seizures - myoclonic,Seizure,1690,1
Myoclonic seizure,Seizure,1690,1
Childhood absence epilepsy,Seizure,1690,1
Absence seizure,Seizure,1690,1
Juvenile absence epilepsy,Seizure,1690,1
Temporal lobe epilepsy,Seizure,1690,1
Candidal intertrigo,Erythema of skin,890,1
Candidal intertrigo,Erythematous condition,890,1
Erythema chronica migrans,Erythema of skin,890,1
Erythema chronica migrans,Erythematous condition,890,1
Erythema multiforme,Erythema of skin,890,1
Erythema multiforme,Erythematous condition,890,1
Erythematosquamous dermatosis,Erythema of skin,890,1
Erythematosquamous dermatosis,Erythematous condition,890,1
Erythromelalgia disorder,Pain finding,1360,1
Erythromelalgia disorder,Erythema of skin,890,1
Erythromelalgia disorder,Erythematous condition,890,1
Primary erythromelalgia,Pain finding,1360,1
Primary erythromelalgia,Erythema of skin,890,1
Primary erythromelalgia,Erythematous condition,890,1
Stricture of esophagus,Bolus impaction,10,0
Cutaneous eruption,Erythema of skin,890,1
Eruption,Erythema of skin,890,1
Cutaneous eruption,Erythematous condition,890,1
Eruption,Erythematous condition,890,1
Cutaneous eruption,Macular eruption,40,0
Eruption,Macular eruption,40,0
Cutaneous eruption,Weal,60,0
Eruption,Weal,60,0
Cutaneous eruption,Meningococcal rash,30,0
Eruption,Meningococcal rash,30,0
Cutaneous eruption,Spots on skin disorder,20,0
Eruption,Spots on skin disorder,20,0
Exophthalmos disorder,Exophthalmos due to orbital edema or congestion,10,0
Extrapyramidal disease,Athetoid movement,80,1
Extrapyramidal disease,Hemiballism disorder,20,0
Disorder of eye proper disorder,Internal ophthalmoplegia,30,0
Disorder of eye proper disorder,Discharge of eye,30,0
Disorder of eye proper disorder,Contact lens related disorder,30,0
Disorder of eyelid,Blepharospasm disorder,70,1
Failure to thrive in infant,Failure to gain weight finding,10,0
Failure to thrive,Failure to gain weight finding,10,0
Failure to thrive in infant,Physiological development failure,10,0
Failure to thrive,Physiological development failure,10,0
Failure to thrive in infant,"DWeight, failure to gain, infant",10,0
Failure to thrive,"DWeight, failure to gain, infant",10,0
Failure to thrive in infant,"Weight,fail to gain,infant D",10,0
Failure to thrive,"Weight,fail to gain,infant D",10,0
Farmers lung,Diffuse inflammation,110,0
Incontinence of feces,Spillage of feces,10,0
Incontinence of feces,Spurious diarrhea - overflow,10,0
Incontinence of feces,Double incontinence finding,20,1
Incontinence of feces,Bowels: occasional accident,10,0
Incontinence of feces,Neuromyopathic fecal incontinence,10,0
Incontinence of feces,Congenital fecal incontinence,10,0
Incontinence of feces,Fecal fluid leakage,10,0
Nonreassuring fetal status,Fetal distress - prelabor,10,0
Nonreassuring fetal status,Fetal distress - in labor,10,0
Fibromyositis,Pain finding,1360,1
Muscular rheumatism,Pain finding,1360,1
Focal motor seizure,Seizure,1690,1
Simple partial seizure with motor dysfunction,Seizure,1690,1
Focal motor seizure,Partial seizure,220,0
Simple partial seizure with motor dysfunction,Partial seizure,220,0
Eruption cyst,Mass of digestive structure,220,0
Freemartin,Virilization finding,50,0
Functional disorder of intestine,Constipation disorder,120,1
Functional disorder of intestine,Hyperactive rectosigmoid junction,10,0
Functional disorder of intestine,Abnormal large bowel motility,10,0
Functional disorder of intestine,Bowel spasm,40,0
Generalized non-convulsive epilepsy,Seizure,1690,1
Disorder of female genital system,Leukoplakia of female genital organs,10,0
Disorder of female genital organs,Leukoplakia of female genital organs,10,0
Disorder of female genital system,Mass of female genital structure,70,0
Disorder of female genital organs,Mass of female genital structure,70,0
Disorder of male genital organ,Pain in testicle finding,10,0
Disorder of male genital organ,Edema of male genital organs,10,0
Disorder of male genital organ,Pain in scrotum finding,10,0
Disorder of male genital organ,Burning scrotum,40,1
Disorder of male genital organ,Pruritus of male genital organs,10,0
Disorder of male genital organ,Leukoplakia of male genital organs,20,0
Disorder of male genital organ,Persistent testicular pain,10,0
Disorder of male genital organ,Tenderness of male genitalia,10,0
Laryngeal granuloma,Mass of respiratory structure,110,1
Central hearing loss,Bilateral central hearing loss,20,0
Day blindness,Subjective visual disturbance,70,1
Hematotympanum,Bleeding from ear,40,0
Mild hyperemesis gravidarum,Hyperemesis gravidarum,60,1
Mild hyperemesis gravidarum,Finding of vomiting,160,1
Mild hyperemesis gravidarum,Vomiting symptom,160,1
Hyperesthesia dolorosa,Skin sensation disturbance,60,1
Hyperesthesia dolorosa,Hyperesthesia finding,10,0
Hypertensive disorder,Paroxysmal hypertension,30,0
Excessive hair growth,Excessive growth of facial hair,10,0
Excessive hair growth,Excessive growth of body hair,10,0
Excessive hair growth,Excessive growth of leg hair,10,0
Congenital ichthyosis of skin,Harlequin change,30,0
Neonatal disorder disorder,Edema of newborn,20,0
Disorders of initiating and maintaining sleep,Insomnia disorder,70,0
Intertrigo disorder,Erythema of skin,890,1
Intertrigo disorder,Erythematous condition,890,1
Disorder of intestine,Gastrointestinal symptom,20,0
Disorder of intestine,Mass of digestive structure,220,0
Neonatal jaundice,Newborn physiological jaundice disorder,80,0
Obstructive hyperbilirubinemia,DJaundice not of newborn,50,1
Cholestatic jaundice syndrome,DJaundice not of newborn,50,1
Obstructive hyperbilirubinemia,DJaundice not of newborn NOS,50,0
Cholestatic jaundice syndrome,DJaundice not of newborn NOS,50,0
Disorder of jaw,Abnormal jaw movement,10,0
Arthropathy disorder,Rubella arthralgia,20,0
Ophthalmoplegia plus syndrome,Ophthalmoplegia disorder,110,1
Oculocraniosomatic syndrome,Ophthalmoplegia disorder,110,1
Leukoplakia of penis,Leukoplakia of male genital organs,20,0
Labyrinthine disorder disorder,Syncopal vertigo,10,0
Disorder of lacrimal system,Dacryops,10,0
Speech and language disorder,Loss of voice,50,0
Laryngeal spasm,Spasm finding,100,1
Laryngismus stridulus,Spasm finding,100,1
Laryngeal spasm,Stridor finding,10,0
Laryngismus stridulus,Stridor finding,10,0
Leukorrhea finding,Leukorrhoea unspecified,10,0
Leukorrhea finding,Leukorrhea unspecified,10,0
Leukorrhea finding,Leukorrhea unspecified or vaginal discharge NOS,10,0
Leukorrhea finding,Leukorrhoea unspecified or vaginal discharge NOS,10,0
Disorder of lip,Cheilodynia disorder,20,1
Disorder of lip,Chapping of lips,20,0
Disorder of lip,Cracked lips,20,0
Disease of liver,Large liver,20,0
Disease of liver,Hepatocellular jaundice,40,0
"Unspecified lymphadenitis, excluding mesenteric lymphaden",Tender lymph node,10,0
"Unspecified lymphadenitis, excluding mesenteric lymphaden",Tenderness of lymphoreticular structure,10,0
Lymphocyst,Mass of lymphoreticular structure,50,0
Lymph cyst,Mass of lymphoreticular structure,50,0
Malarial fever,Intermittent fever,10,0
Disease due to Plasmodiidae,Intermittent fever,10,0
Malarial fever,Malarial pigment deposition,50,0
Disease due to Plasmodiidae,Malarial pigment deposition,50,0
Melanosis morphologic abnormality,Melasma gravidarum,20,0
Melanosis disorder,Melasma gravidarum,20,0
Chloasma disorder,Melasma gravidarum,20,0
Ménières disease,Secondary endolymphatic hydrops,20,0
Meningococcal infectious disease,Meningococcal rash,30,0
Metabolic disease,Hypoproteinemia disorder,30,0
Generalized metabolic disorder,Hypoproteinemia disorder,30,0
Metabolic disease,Polyuric state,30,0
Generalized metabolic disorder,Polyuric state,30,0
Motion sickness,Nausea finding,10,0
Dental fluorosis,Teeth staining due to drugs,20,0
Disease of mouth,Oral paresthesia,10,0
Disease of mouth,Oral hypoesthesia,10,0
Disease of mouth,Edema of oral vestibule,40,0
Movement disorder,Myoclonic disorder,290,1
Movement disorder,Grimaces,20,1
Movement disorder,Painful legs and moving toes,40,1
Disorder of muscle,Gastric spasm,20,0
Disorder of muscle,Flaccidity of muscle of upper limb,10,0
Myalgia and myositis unspecified,Muscle pain,20,0
Myalgia and myositis unspecified,Muscle tension pain,10,0
Myalgia and myositis unspecified,Skeletal muscle tender finding,10,0
Myxedema disorder,Hard edema,50,0
Disorder of nail,Subungual hyperkeratosis,30,0
Disorder of nail,Clubbing of nail disorder,40,1
Disorder of nail,Onychomadesis,20,0
Narcolepsy disorder,Hypersomnia disorder,70,0
Nasociliary neuralgia,Pain finding,1360,1
Disorder of nasopharynx,Palatal myoclonus,50,1
Disorder of nervous system,Reaction to spinal or lumbar puncture disorder,30,0
Disorder of the nose,Snuffles,30,1
Disorder of the nose,Nasal discharge,30,1
Disorder of the nose,Nasal discharge present,30,0
Nystagmus disorder,Voluntary nystagmus,20,1
Nystagmus disorder,Irregular nystagmus,20,1
Nystagmus disorder,Uniocular nystagmus,10,0
Nystagmus disorder,Gaze paretic nystagmus,20,1
Nystagmus disorder,Nystagmus produced by neck rotation,30,1
Nystagmus disorder,Nystagmus enhanced when fixation removed,30,1
Nystagmus disorder,Nystagmus unchanged when fixation removed,20,1
Nystagmus disorder,Nystagmus inhibited when fixation removed,20,1
Nystagmus disorder,Nystagmus signs,20,1
Nystagmus disorder,Elliptical nystagmus,30,0
Disorder of eye movements,Ophthalmoplegia disorder,110,1
Disorder of eye movements,Pseudoophthalmoplegia disorder,10,0
Omphalitis,Disorder of umbilicus,120,0
Pachydermoperiostosis syndrome,Clubbing morphologic abnormality,20,0
Pachydermoperiostosis of nail,Clubbing morphologic abnormality,20,0
Other and unspecified diseases of oral soft tissue,Paralysis of palate,10,0
Other and unspecified diseases of oral soft tissue,Painful mouth,10,0
Other and unspecified diseases of oral soft tissue,Edema of oral soft tissues,40,1
Other and unspecified diseases of oral soft tissue,Discomfort in mouth,20,0
Other and unspecified diseases of oral soft tissue,Mouth symptoms,10,0
Other and unspecified diseases of oral soft tissue,Sore lip finding,10,0
Other and unspecified diseases of oral soft tissue,Edema of uvula,30,0
Other and unspecified diseases of oral soft tissue,Mass of oral cavity,70,0
Other and unspecified diseases of oral soft tissue,Pain of oral cavity structure,10,0
Other and unspecified diseases of oral soft tissue,Tenderness of oral cavity structure,10,0
Other and unspecified diseases of oral soft tissue,Edema of oral vestibule,40,0
Other and unspecified diseases of oral soft tissue,Sore mouth finding,10,0
Other non-alcoholic chronic liver disease,Hepatosplenomegaly,10,0
Other non-alcoholic chronic liver disease NOS,Hepatosplenomegaly,10,0
Other nasal cavity and sinus disease,Nasal congestion,20,1
Other nasal cavity and sinus disease,Posterior rhinorrhea disorder,10,0
Other nasal cavity and sinus disease,Congestion of nasal sinus,40,0
Other nasal cavity and sinus disease,Purulent nasal discharge,80,1
Other nasal cavity and sinus disease,Purulent rhinitis,80,1
Other nasal cavity and sinus disease,Catarrhal nasal discharge,20,0
Other nasal cavity and sinus disease,Sore nostril,10,0
Other nasal cavity and sinus disease,Maxillary sinus pain,10,0
Other nasal cavity and sinus disease,Frontal sinus pain,10,0
Other nasal cavity and sinus disease,Snuffles,30,1
Other nasal cavity and sinus disease,Nasal discharge,30,1
Other nasal cavity and sinus disease,Nasal discharge present,30,0
Other disorders of plasma protein metabolism NOS,Hypoproteinemia disorder,30,0
Other disorder of plasma protein metabolism,Hypoproteinemia disorder,30,0
Other forms of nystagmus disorder,Voluntary nystagmus,20,1
Other forms of nystagmus disorder,Mixed nystagmus,10,0
Other forms of nystagmus disorder,Postural nystagmus,20,1
Other forms of nystagmus disorder,Spontaneous nystagmus,20,1
Other forms of nystagmus disorder,Body positional nystagmus,20,1
Other forms of nystagmus disorder,Neck positional nystagmus,10,0
Other forms of nystagmus disorder,"Positional nystagmus, variable eye direction",10,0
Other forms of nystagmus disorder,Nystagmus produced by neck rotation,30,1
Other forms of nystagmus disorder,Nystagmus enhanced when fixation removed,30,1
Other forms of nystagmus disorder,Nystagmus unchanged when fixation removed,20,1
Other forms of nystagmus disorder,Nystagmus inhibited when fixation removed,20,1
Other forms of nystagmus disorder,Bruns nystagmus,30,0
Other forms of nystagmus disorder,Elliptical nystagmus,30,0
Other specific muscle disorder,Flaccidity - muscle,10,0
Other specified disorders of muscle,Flaccidity - muscle,10,0
Other specific muscle disorder NOS,Flaccidity - muscle,10,0
Other specific muscle disorder,Flaccidity,10,0
Other specified disorders of muscle,Flaccidity,10,0
Other specific muscle disorder NOS,Flaccidity,10,0
Other specific muscle disorder,Drop attack,30,0
Other specified disorders of muscle,Drop attack,30,0
Other specific muscle disorder NOS,Drop attack,30,0
Other specific muscle disorder,Flaccidity of muscle of lower limb,10,0
Other specified disorders of muscle,Flaccidity of muscle of lower limb,10,0
Other specific muscle disorder NOS,Flaccidity of muscle of lower limb,10,0
Other specified diseases of hard tissues of teeth,Tooth sensitivity to cold,20,1
Other specified diseases of hard tissues of teeth,Tooth sensitivity to heat,20,0
Other specified diseases of pancreas,Courvoisiers sign,10,0
Other specified diseases of pancreas,Pancreatic pain,10,0
Other specified disorders of bladder,Bladder distention finding,10,0
Other specified disorders of bladder,Painful bladder spasm,10,0
Other specified disorders of bladder,Spasm of bladder,10,0
Other specified disorders of kidney and ureter,Ureteric neuromuscular incoordination,20,0
Other male genital organ diseases OS,Spermatoschesis,10,0
Other specified diseases of male genital organ,Spermatoschesis,10,0
Other specified disorders of male genital organs,Spermatoschesis,10,0
Other male genital organ diseases OS,Spermatemphraxis,10,0
Other specified diseases of male genital organ,Spermatemphraxis,10,0
Other specified disorders of male genital organs,Spermatemphraxis,10,0
Other male genital organ diseases OS,Painful sexual act of male,10,0
Other specified diseases of male genital organ,Painful sexual act of male,10,0
Other specified disorders of male genital organs,Painful sexual act of male,10,0
Other male genital organ diseases OS,Pain in male perineum,10,0
Other specified diseases of male genital organ,Pain in male perineum,10,0
Other specified disorders of male genital organs,Pain in male perineum,10,0
Other male genital organ diseases OS,Vas deferens tender,10,0
Other specified diseases of male genital organ,Vas deferens tender,10,0
Other specified disorders of male genital organs,Vas deferens tender,10,0
Other male genital organ diseases OS,Painful ejaculation finding,10,0
Other specified diseases of male genital organ,Painful ejaculation finding,10,0
Other specified disorders of male genital organs,Painful ejaculation finding,10,0
Other male genital organ diseases OS,Testicular neuralgia,30,0
Other specified diseases of male genital organ,Testicular neuralgia,30,0
Other specified disorders of male genital organs,Testicular neuralgia,30,0
Other male genital organ diseases OS,Mass of male genital structure,30,0
Other specified diseases of male genital organ,Mass of male genital structure,30,0
Other specified disorders of male genital organs,Mass of male genital structure,30,0
Other male genital organ diseases OS,Inflammatory testicular mass,20,0
Other specified diseases of male genital organ,Inflammatory testicular mass,20,0
Other specified disorders of male genital organs,Inflammatory testicular mass,20,0
Other specified disorders of penis,Irritation of penis,10,0
Other specified skin disorder NOS,Macular eruption,40,0
Other specified skin disorders,Macular eruption,40,0
Other specified skin disorder NOS,Weal,60,0
Other specified skin disorders,Weal,60,0
Other specified skin disorder NOS,Puffiness of skin,10,0
Other specified skin disorders,Puffiness of skin,10,0
Other specified skin disorder NOS,Auspitzs sign,10,0
Other specified skin disorders,Auspitzs sign,10,0
Other specified skin disorder NOS,Menstrual urticaria,20,0
Other specified skin disorders,Menstrual urticaria,20,0
Other specified skin disorder NOS,Chapping of lips,20,0
Other specified skin disorders,Chapping of lips,20,0
Other specified skin disorder NOS,Cracked lips,20,0
Other specified skin disorders,Cracked lips,20,0
Other specified skin disorder NOS,Macerated skin,10,0
Other specified skin disorders,Macerated skin,10,0
Other specified skin disorder NOS,Bullous weal,10,0
Other specified skin disorders,Bullous weal,10,0
Other specified skin disorder NOS,Malarial pigment deposition,50,0
Other specified skin disorders,Malarial pigment deposition,50,0
Other specified disorders of teeth and supporting structures,Loosening of tooth disorder,20,0
Other specified erythematous conditions,Erythema of skin,890,1
Other specified erythematous conditions,Erythematous condition,890,1
Other specified erythematous conditions,Erythema scarlatiniforme,10,0
Other specified erythematous conditions,Erythema fugax,10,0
Other specified erythematous conditions,Erythematous ear canal,10,0
Other specified erythematous conditions,Micropapular weal,10,0
Other specified erythematous conditions,Erythematous mucosa,10,0
Other specified atrophic and hypertrophic conditions of skin,Circumoral rhytides,10,0
Other specified atrophic and hypertrophic conditions of skin NOS,Circumoral rhytides,10,0
Other specified atrophic and hypertrophic conditions of skin,Stellate pseudoscar,50,0
Other specified atrophic and hypertrophic conditions of skin NOS,Stellate pseudoscar,50,0
Other specified myoneural disorders,Benign congenital hypotonia disorder,30,0
Other specified noninflammatory disorders of vagina,Swelling of vagina,10,0
Other specified periodontal disease,Sore gums,20,0
Other specified periodontal disease NOS,Sore gums,20,0
Other specified periodontal disease,Gingival edema,10,0
Other specified periodontal disease NOS,Gingival edema,10,0
Other specified schistosoma NOS,Schistosomal pigment deposition,40,0
Other specified urticaria NOS,Immune complex urticaria,70,0
Other synovitis and tenosynovitis,Subsultus tendinum,10,0
Disorder of pancreas,Pancreatic symptom,10,0
Erythema nodosum migrans,Erythema of skin,890,1
Erythema nodosum migrans,Erythematous condition,890,1
Optic disc swelling,Mass of eye structure,70,1
Optic papillitis,Mass of eye structure,70,1
Optic disc edema,Mass of eye structure,70,1
Optic disc swelling,Swelling of structure of eye,70,0
Optic papillitis,Swelling of structure of eye,70,0
Optic disc edema,Swelling of structure of eye,70,0
Parakeratosis disorder,Erythema of skin,890,1
Parakeratosis morphologic abnormality,Erythema of skin,890,1
Parakeratosis disorder,Erythematous condition,890,1
Parakeratosis morphologic abnormality,Erythematous condition,890,1
Paramyoclonus multiplex,Myoclonic disorder,290,1
Disorder of nasal sinus,Congestion of nasal sinus,40,0
Paraplegia disorder,Spinal paraparesis,10,0
Paraplegia disorder,Flaccid paraplegia,10,0
Parasomnia disorder,Sleep-related head banging,10,0
Parasomnia disorder,Reaction to sudden wakening,10,0
Parasomnia disorder,Sleep automatism,40,0
Parkinsons disease,Parkinsonian tremor,10,0
Disorder of penis,Lesion of penis,10,0
Disorder of penis,Edema of penis,30,0
Disorder of penis,Pruritus of penis,30,1
Disorder of penis,Pain in penis finding,10,0
Apical granuloma,Mass of oral cavity,70,0
Disorder of the peripheral nervous system,Neuropathic pain,160,1
Peripheral nerve disease,Neuropathic pain,160,1
Disorder of the peripheral nervous system,Intercostal neuralgia,40,0
Peripheral nerve disease,Intercostal neuralgia,40,0
Disorder of the peripheral nervous system,Cruralgia,40,1
Peripheral nerve disease,Cruralgia,40,1
Peripheral neuralgia,Neuropathic pain,160,1
Peripheral neuralgia,Pain finding,1360,1
Peripheral neuralgia,Sciatica disorder,70,0
Peripheral neuralgia,Femoral neuralgia,30,1
Peripheral neuralgia,Intercostal neuralgia,40,0
Peripheral neuralgia,Lateral femoral cutaneous neuralgia,40,1
Peripheral neuralgia,Obturator neuralgia,40,1
Peripheral neuralgia,Cruralgia,40,1
Peripheral neuralgia,Segmental peripheral neuralgia,30,1
Peripheral neuralgia,Ilioinguinal nerve neuralgia,70,1
Peripheral neuralgia,Genitofemoral nerve neuralgia,60,1
Peripheral neuralgia,Testicular neuralgia,30,0
Disorder of peritoneum,Intra-abdominal collection,30,0
